#CODE;ENGLISH;;;;;;;;;x 
ACQUISITION_CLAIM;Conquered as a Claimant;;;;;;;;;x 
EVTDESC_WOL_1103;My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] has avoided me for some time now, and the rare occasions when we meet have turned from the nights of passion I remember to evenings of arguments and disagreement. It did not come as a shock when [From.GetSubjectPronoun] told me [From.GetSubjectPronoun] no longer loves me, but it hurt more than I thought it would.;;;;;;;;;x 
EVTOPTC_WOL_1103;Time to re-seduce [From.GetObjectPronoun]!;;;;;;;;;x 
EVTTOOLTIP_WoL_1104;[This.GetObjectPronoun] is given a night [This.GetSubjectPronoun] won't soon forget!;;;;;;;;;x 
EVTDESC_WOL_1104;I let [From.GetFirstName] know of my lost feelings for [From.GetObjectPronoun], and then [From.GetSubjectPronoun] goes and fills my room with flowers... and by [Root.Religion.GetRandomGodName], what is [From.GetSubjectPronoun] wearing?!;;;;;;;;;x 
EVTOPTA_WOL_1104;I love [From.GetObjectPronoun]! Or is it lust? Who cares!;;;;;;;;;x 
EVTOPTB_WOL_1104;Sorry dear, it just doesn't do it for me.;;;;;;;;;x 
EVTTOOLTIP_WoL_1105;[This.GetFirstName] remains my lover!;;;;;;;;;x 
EVTDESC_WOL_1105;I filled [From.GetFirstName]'s room with roses and waited on [From.GetPossPronoun] bed wearing... very little. [From.GetSubjectPronounCap] was most impressed.;;;;;;;;;x 
EVTOPTA_WOL_1105;I've still got it!;;;;;;;;;x 
EVTDESC_WOL_1106;I filled [From.GetFirstName]'s room with roses and waited on [From.GetPossPronoun] bed wearing... very little. [From.GetSubjectPronounCap] just sighed and went to sleep in another bedroom.;;;;;;;;;x 
EVTOPTA_WOL_1106;Have I lost it?;;;;;;;;;x 
converts_to_castle;Will convert to §Y$NAME$§! when upgraded to a castle.;;;;;;;;;x 
converts_to_city;Will convert to §Y$NAME$§! when upgraded to a city.;;;;;;;;;x 
converts_to_temple;Will convert to §Y$NAME$§! when upgraded to a temple.;;;;;;;;;x 
converts_to_tribal;Will convert to §Y$NAME$§! when upgraded to a tribal.;;;;;;;;;x 
convert_settlement_to_castle;§Y$SETTLEMENT$§! will be upgraded to a castle.\n;;;;;;;;;x 
convert_settlement_to_city;§Y$SETTLEMENT$§! will be upgraded to a city.\n;;;;;;;;;x 
convert_settlement_to_temple;§Y$SETTLEMENT$§! will be upgraded to a temple.\n;;;;;;;;;x 
convert_settlement_to_tribal;§Y$SETTLEMENT$§! will be upgraded to a tribe.\n;;;;;;;;;x 
NOT_ENOUGH_GOLD;(§RX§!) Has §G$COST$§! Gold;;;;;;;;;x 
IS_BUILDING;(§RX§!) Holding is not building anything;;;;;;;;;x 
NOT_ENOUGH_PRESTIGE;(§RX§!) Has §G$COST$§! Prestige;;;;;;;;;x 
ALLOW_FREE_VICEROY_REVOKATION_ON;Revocation of viceroyalty duchy titles free.\n;;;;;;;;;x 
ALLOW_FREE_VICEROY_REVOKATION_OFF;Revocation of viceroyalty duchy titles no longer free.\n;;;;;;;;;x 
REVOKE_TITLE_INTERACTION_2J;Our Imperial administration allows us to revoke viceroyalty Duchies without objections from the aristocracy.;;;;;;;;;x 
action_build_zeal_desc;Have your [GetLordSpiritualName] whip up religious zeal among the people, increasing your Piety and possibly even attracting some holy warriors. If you don't use these troops for religious wars, they will get angry at you and you will lose piety.;;;;;;;;;x 
action_organize_raid_desc;Have your [GetMarshalName] gather men for a great raid, for plunder and glory! If you don't use these troops for raiding, they will get angry at you and take your gold instead.;;;;;;;;;x 
action_build_legend_desc;Have your [GetTreasurerName] build your legend among the people, increasing your Prestige and possibly even raising some eager warriors. If you don't use these troops and go to war, they will get angry at you and you will lose prestige.;;;;;;;;;x 
